1.60,0.00,0.00,6.41,8.13,6.07,7.84,11.20,16.63,18.45,39.50,0.00,1.44,1.62,9.22,14.97,0.00,0.00,0.00,9.60,3.56,0.31
1.86,1.98,0.00,6.64,0.00,6.43,8.86,12.31,13.54,29.21,30.52,7.23,1.72,1.93,10.03,35.44,25.52,0.00,0.00,0.00,5.39,0.39
2.16,5.39,6.45,0.00,0.00,6.81,9.23,12.57,17.40,31.65,18.94,7.84,2.12,2.36,24.51,6.84,6.67,7.17,23.67,0.00,0.00,0.48
2.52,5.71,3.06,15.75,5.53,7.76,9.87,15.48,25.48,16.66,0.00,8.86,2.69,2.98,15.55,7.16,7.23,12.69,3.50,6.17,5.20,0.60
2.92,6.05,5.78,6.49,7.97,5.69,10.68,19.35,22.50,16.61,54.91,9.23,3.56,3.91,8.17,0.00,7.84,3.70,4.18,3.13,5.59,0.72
3.63,6.39,6.12,7.07,5.92,8.17,3.62,10.73,14.65,0.00,18.35,9.87,4.95,5.39,0.00,6.44,8.86,5.45,6.64,3.33,9.60,0.86
4.63,0.00,6.46,5.95,5.98,8.13,,7.23,1.51,15.75,18.45,10.68,8.03,8.44,0.41,0.00,9.23,5.36,3.94,4.40,0.00,1.02
4.96,0.00,3.29,6.30,6.34,0.00,,7.84,11.20,16.63,29.21,3.62,13.96,14.54,0.00,24.48,9.87,4.06,4.16,1.34,0.00,1.20
4.20,25.52,0.00,6.68,6.72,0.00,,8.86,12.31,13.54,31.65,,29.54,36.24,7.23,9.22,10.68,4.30,4.40,4.00,6.17,1.41
3.62,6.67,2.94,7.07,7.11,5.53,,9.23,12.57,17.40,16.66,,3.73,5.36,8.10,10.03,3.62,5.11,4.65,4.24,3.13,1.61
3.78,7.23,1.42,7.49,7.86,7.97,,9.87,15.48,25.48,16.61,,3.86,4.46,9.10,24.51,,0.00,5.59,11.98,3.33,2.05
3.93,7.84,14.10,6.46,6.41,5.92,,10.68,19.35,22.50,0.00,,3.98,4.61,20.59,15.55,,0.00,0.00,15.09,4.40,2.72
4.08,8.86,4.11,5.76,6.64,5.98,,3.62,10.73,14.65,15.75,,4.12,5.40,13.73,8.17,,25.52,0.00,0.00,1.34,2.29
4.18,9.23,4.91,6.11,0.00,6.34,,,7.23,1.51,16.63,,4.25,3.74,7.14,0.00,,6.67,7.17,0.00,4.00,1.44
4.41,9.87,6.56,6.46,15.75,6.72,,,7.84,11.20,13.54,,4.39,5.53,6.23,0.41,,7.23,12.69,23.67,4.24,2.22
4.45,10.68,4.41,6.84,6.49,7.11,,,8.86,12.31,17.40,,5.42,8.92,0.00,0.00,,7.84,3.70,3.50,11.98,2.35
4.56,3.62,5.25,7.24,7.07,7.86,,,9.23,12.57,25.48,,3.44,13.77,61.79,7.23,,8.86,5.45,4.18,15.09,2.47
4.65,,0.00,1.39,5.95,6.41,,,9.87,15.48,22.50,,4.74,7.85,5.63,8.10,,9.23,5.36,6.64,0.00,2.59
5.40,,0.00,7.84,6.30,6.64,,,10.68,19.35,14.65,,4.95,3.85,8.26,9.10,,9.87,4.06,3.94,0.00,2.67
4.45,,1.98,8.86,6.68,0.00,,,3.62,10.73,1.51,,8.30,3.95,3.72,20.59,,10.68,4.30,4.16,23.67,2.87
4.86,,5.39,9.23,7.07,15.75,,,,7.23,11.20,,8.88,4.04,12.29,13.73,,3.62,5.11,4.40,3.50,2.92
4.91,,5.71,9.87,7.49,6.49,,,,7.84,12.31,,9.65,3.79,18.34,7.14,,,0.00,4.65,4.18,3.01
4.95,,6.05,10.68,6.46,7.07,,,,8.86,12.57,,3.83,0.00,5.67,6.23,,,0.00,5.59,6.64,3.10
4.99,,6.39,3.62,5.76,5.95,,,,9.23,15.48,,3.92,3.41,6.02,0.00,,,25.52,0.00,3.94,3.86
5.01,,0.00,,6.11,6.30,,,,9.87,19.35,,4.01,3.46,6.06,61.79,,,6.67,0.00,4.16,2.89
5.03,,0.00,,6.46,6.68,,,,10.68,10.73,,4.11,0.00,0.00,5.63,,,7.23,7.17,4.40,3.33
4.98,,25.52,,6.84,7.07,,,,3.62,7.23,,3.24,3.83,5.53,8.26,,,7.84,12.69,4.65,3.40
,,6.67,,7.24,7.49,,,,,7.84,,0.00,3.96,0.00,3.72,,,8.86,3.70,5.59,3.46
,,7.23,,1.39,6.46,,,,,8.86,,3.43,4.93,25.52,12.29,,,9.23,5.45,0.00,3.52
,,7.84,,7.84,5.76,,,,,9.23,,16.91,2.97,6.67,18.34,,,9.87,5.36,0.00,3.57
,,8.86,,8.86,6.11,,,,,9.87,,3.68,4.28,7.23,5.67,,,10.68,4.06,7.17,3.61
,,9.23,,9.23,6.46,,,,,10.68,,3.80,5.69,7.84,6.02,,,3.62,4.30,12.69,3.65
,,9.87,,9.87,6.84,,,,,3.62,,4.60,6.63,8.86,6.06,,,,5.11,3.70,3.69
,,10.68,,10.68,7.24,,,,,,,3.09,13.04,9.23,0.00,,,,0.00,5.45,3.72
,,3.62,,3.62,1.39,,,,,,,4.11,5.44,9.87,5.53,,,,0.00,5.36,3.75
,,,,,7.84,,,,,,,4.24,3.42,10.68,0.00,,,,25.52,4.06,3.78
,,,,,8.86,,,,,,,6.97,3.50,3.62,25.52,,,,6.67,4.30,3.81
,,,,,9.23,,,,,,,5.38,3.58,,6.67,,,,7.23,5.11,3.84
,,,,,9.87,,,,,,,10.25,3.67,,7.23,,,,7.84,0.00,3.87
,,,,,10.68,,,,,,,3.33,2.77,,7.84,,,,8.86,0.00,5.41
,,,,,3.62,,,,,,,3.40,0.00,,8.86,,,,9.23,25.52,2.22
,,,,,,,,,,,,3.48,3.08,,9.23,,,,9.87,6.67,3.98
,,,,,,,,,,,,3.56,3.13,,9.87,,,,10.68,7.23,4.02
,,,,,,,,,,,,3.65,0.00,,10.68,,,,3.62,7.84,4.01
,,,,,,,,,,,,3.30,3.18,,3.62,,,,,8.86,
,,,,,,,,,,,,3.04,3.28,,,,,,,9.23,
,,,,,,,,,,,,3.08,3.39,,,,,,,9.87,
,,,,,,,,,,,,3.13,4.26,,,,,,,10.68,
,,,,,,,,,,,,3.04,2.52,,,,,,,3.62,
,,,,,,,,,,,,3.13,3.66,,,,,,,,
,,,,,,,,,,,,3.24,4.13,,,,,,,,
,,,,,,,,,,,,3.98,6.41,,,,,,,,
,,,,,,,,,,,,3.25,5.13,,,,,,,,
,,,,,,,,,,,,3.56,10.48,,,,,,,,
,,,,,,,,,,,,3.67,2.94,,,,,,,,
,,,,,,,,,,,,3.79,3.01,,,,,,,,
,,,,,,,,,,,,3.91,3.08,,,,,,,,
,,,,,,,,,,,,4.04,3.15,,,,,,,,
,,,,,,,,,,,,4.17,3.23,,,,,,,,
,,,,,,,,,,,,4.30,3.30,,,,,,,,
,,,,,,,,,,,,4.44,0.00,,,,,,,,
,,,,,,,,,,,,1.43,0.00,,,,,,,,
,,,,,,,,,,,,,2.75,,,,,,,,
,,,,,,,,,,,,,2.80,,,,,,,,
,,,,,,,,,,,,,0.00,,,,,,,,
,,,,,,,,,,,,,2.52,,,,,,,,
,,,,,,,,,,,,,2.60,,,,,,,,
,,,,,,,,,,,,,2.69,,,,,,,,
,,,,,,,,,,,,,2.78,,,,,,,,
,,,,,,,,,,,,,2.84,,,,,,,,
,,,,,,,,,,,,,3.13,,,,,,,,
,,,,,,,,,,,,,3.04,,,,,,,,
,,,,,,,,,,,,,3.13,,,,,,,,
,,,,,,,,,,,,,3.24,,,,,,,,
,,,,,,,,,,,,,3.98,,,,,,,,
,,,,,,,,,,,,,3.25,,,,,,,,
,,,,,,,,,,,,,3.56,,,,,,,,
,,,,,,,,,,,,,3.67,,,,,,,,
,,,,,,,,,,,,,3.79,,,,,,,,
,,,,,,,,,,,,,3.91,,,,,,,,
,,,,,,,,,,,,,4.04,,,,,,,,
,,,,,,,,,,,,,4.17,,,,,,,,
,,,,,,,,,,,,,4.30,,,,,,,,
,,,,,,,,,,,,,4.44,,,,,,,,
,,,,,,,,,,,,,1.43,,,,,,,,
