Locality,Unit,Sample,Type,Composition,Zircon,CA Temp,CA Duration (hrs),Notes,age68,2s_68,638 Rel. Unc (permille),76 Age (Ma),76 Age_unc (Ma),76 Rel. Unc (permille),Age_synth (Ma),Unc_synth (permille),U (ppm),Th/U,Pb* (pg),Pbc (pg),Pb*/Pbc,U (ng),U (pg),Lab,Year ,Reference,DOI,StudyID,1000,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z02,180,Dec.15,,7.205,0.021,2.91,,,,7.205,2.914642609,331.9,0.64,2.14,1.08,1.98,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-synmineralizationporphyry,EP3,Porphyry,Dacite,YB38-z05,180,Dec.15,,7.274,0.015,2.06,,,,7.274,2.062139126,284.5,0.53,4.06,0.99,4.11,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z10,180,Dec.15,,7.097,0.013,1.83,,,,7.097,1.831759899,510.2,0.77,10.05,2.01,5.01,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z22,180,Dec.15,,7.108,0.041,5.77,,,,7.108,5.768148565,251.1,0.94,0.96,1.06,0.9,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z08,180,Dec.15,,7.117,0.025,3.51,,,,7.117,3.512716032,285.8,0.55,1.65,1.04,1.58,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z04,180,Dec.15,,7.125,0.019,2.67,,,,7.125,2.666666667,179.2,0.59,1.98,0.92,2.15,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z12,180,Dec.15,,7.129,0.029,4.07,,,,7.129,4.06789171,352.5,0.73,3.03,2.53,1.2,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z06,180,Dec.15,,7.129,0.02,2.81,,,,7.129,2.805442559,259.4,0.59,1.97,1.02,1.92,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z09,180,Dec.15,,7.135,0.032,4.48,,,,7.135,4.484933427,298.3,0.64,1.41,1.32,1.07,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z20,180,Dec.15,,7.138,0.013,1.82,,,,7.138,1.821238442,334.7,0.54,4.24,0.95,4.48,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z07,180,Dec.15,,7.138,0.025,3.5,,,,7.138,3.50238162,253.7,0.66,1.57,1.01,1.55,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z18,180,Dec.15,,7.141,0.015,2.1,,,,7.141,2.100546142,296.5,0.56,4.64,1.36,3.42,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z05,180,Dec.15,,7.153,0.018,2.52,,,,7.153,2.516426674,529.5,0.67,2.97,1.27,2.35,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z11,180,Dec.15,,7.178,0.04,5.57,,,,7.178,5.572582892,348.1,0.52,1.89,2.45,0.77,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z13,180,Dec.15,,7.187,0.038,5.29,,,,7.187,5.287324336,331.5,0.59,2.96,3.46,0.86,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z19,180,Dec.15,,7.208,0.015,2.08,,,,7.208,2.081021088,296.5,0.59,4.55,1.2,3.8,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z17,180,Dec.15,,7.235,0.019,2.63,,,,7.235,2.626123013,279.5,0.69,1.9,0.8,2.39,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z01,180,Dec.15,,7.247,0.021,2.9,,,,7.247,2.897750793,401.4,0.45,2.57,1.24,2.07,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z16,180,Dec.15,,7.25,0.023,3.17,,,,7.25,3.172413793,251.8,0.66,1.52,0.87,1.76,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z24,180,Dec.15,,7.259,0.03,4.13,,,,7.259,4.132800661,241.6,0.54,1.13,1.02,1.11,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Bajo de la Alumbrera,Pre-mineralizationporphyry,P2,Porphyry,Dacite,YB40-z23,180,Dec.15,,7.275,0.018,2.47,,,,7.275,2.474226804,250.9,0.59,3.14,1.06,2.97,,,ETHZ,2016,Buret et al (2016),https://doi.org/10.1016/j.epsl.2016.06.017,1, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z02,180,Dec.15,,6.446,0.018,2.79,,,,6.446,2.792429414,,0.21,0.84,0.22,3.88,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z08,180,Dec.15,,6.454,0.015,2.32,,,,6.454,2.324140068,,0.21,2.26,0.19,11.99,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z06,180,Dec.15,,6.469,0.014,2.16,,,,6.469,2.164167568,,0.19,1.14,0.12,9.42,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z16,180,Dec.15,,6.473,0.029,4.48,,,,6.473,4.480148308,,0.21,4.6,3.07,1.5,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z32,180,Dec.15,,6.481,0.025,3.86,,,,6.481,3.857429409,,0.19,0.56,0.21,2.65,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z17,180,Dec.15,,6.489,0.012,1.85,,,,6.489,1.849283403,,0.17,2.33,0.14,16.78,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z42,180,Dec.15,,6.521,0.024,3.68,,,,6.521,3.680417114,,0.21,4.11,2.16,1.9,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z13,180,Dec.15,,6.527,0.012,1.84,,,,6.527,1.83851693,,0.29,5.57,0.28,20.08,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z35,180,Dec.15,,6.555,0.012,1.83,,,,6.555,1.830663616,,0.18,8.21,0.18,45.18,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,360m,SR62,Volcanic,Andesite/Dacite,SR62_z38,180,Dec.15,,6.84,0.012,1.75,,,,6.84,1.754385965,,0.35,4.93,0.17,29.42,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z29,180,Dec.15,,6.511,0.013,2,,,,6.511,1.996621103,,0.37,4.51,0.1,43.4,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z02,180,Dec.15,,6.515,0.012,1.84,,,,6.515,1.8419033,,0.17,5.6,0.08,68.45,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z15,180,Dec.15,,6.515,0.012,1.84,,,,6.515,1.8419033,,0.19,2.65,0.11,23.07,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z19,180,Dec.15,,6.527,0.012,1.84,,,,6.527,1.83851693,,0.19,5.93,0.19,31.63,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z48,180,Dec.15,,6.554,0.011,1.68,,,,6.554,1.678364358,,0.18,6.04,0.1,63.48,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z06,180,Dec.15,,6.582,0.013,1.98,,,,6.582,1.975083561,,0.2,11.61,0.2,57.62,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z37,180,Dec.15,,6.598,0.012,1.82,,,,6.598,1.818732949,,0.19,10.21,0.09,110.27,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,270m,SR59,Volcanic,Andesite/Dacite,SR59_z26,180,Dec.15,,6.764,0.01,1.48,,,,6.764,1.478415139,,0.31,3.59,0.11,31.94,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
Agua de Dionisio,250m,SR63,Volcanic,Andesite/Dacite,SR63_z32,180,Dec.15,,6.53,0.012,1.84,,,,6.53,1.837672282,,0.17,2.68,0.15,17.7,,,ETHZ,2017,Buret et al (2017),https://doi.org/10.1130/G38994.1,2, ,,
